event_id;event_name
\mod_assign\event\submission_status_viewed;Страница состояния представленного ответа просмотрена
\mod_assign\event\submission_unlocked;Возможность представления ответов для пользователя была разблокирована.
\mod_assign\event\submission_viewed;Представленный ответ рассмотрен.
\mod_assign\event\user_override_created;Переопределение задания создано
\mod_assign\event\user_override_deleted;Переопределение задания удалено
\mod_assign\event\user_override_updated;Переопределение задания обновлено
\mod_assign\event\workflow_state_updated;Этап оценивания был обновлен.
\mod_bigbluebuttonbn\event\activity_viewed;Просмотрен элемент курса «Видеоконференция BigBlueButton»
\mod_bigbluebuttonbn\event\bigbluebuttonbn_activity_management_viewed;BigBlueButtonBN activity management viewed
\mod_bigbluebuttonbn\event\live_session_event;В прямом эфире
\mod_bigbluebuttonbn\event\meeting_created;Собрание BigBlueButton создано
\mod_bigbluebuttonbn\event\meeting_ended;Собрание BigBlueButton принудительно завершено
\mod_bigbluebuttonbn\event\meeting_joined;Пользователь присоединился к собранию BigBlueButton
\mod_bigbluebuttonbn\event\meeting_left;Пользователь покинул собрание BigBlueButton
\mod_bigbluebuttonbn\event\recording_deleted;Запись собрания BigBlueButton удалена
\mod_bigbluebuttonbn\event\recording_edited;Запись изменена
\mod_bigbluebuttonbn\event\recording_imported;Запись импортирована
\mod_bigbluebuttonbn\event\recording_protected;Запись защищена
\mod_bigbluebuttonbn\event\recording_published;Запись собрания BigBlueButton опубликована
\mod_bigbluebuttonbn\event\recording_unprotected;Запись не защищена
\mod_bigbluebuttonbn\event\recording_unpublished;Отменена публикация записи собрания BigBlueButton
\mod_bigbluebuttonbn\event\recording_viewed;Запись просмотрена
\mod_biggreenbuttonbn\event\activity_viewed;Просмотрен элемент курса «Видеоконференция BigGreenButton»
\mod_biggreenbuttonbn\event\biggreenbuttonbn_activity_management_viewed;BiggreenbuttonBN activity management viewed
\mod_biggreenbuttonbn\event\live_session_event;В прямом эфире
\mod_biggreenbuttonbn\event\meeting_created;Собрание BigGreenButton создано
\mod_biggreenbuttonbn\event\meeting_ended;Собрание BigGreenButton принудительно завершено
\mod_biggreenbuttonbn\event\meeting_joined;Пользователь присоединился к собранию BigGreenButton
\mod_biggreenbuttonbn\event\meeting_left;Пользователь покинул собрание BigGreenButton
\mod_biggreenbuttonbn\event\recording_deleted;Запись собрания BigGreenButton удалена
\mod_biggreenbuttonbn\event\recording_edited;Запись изменена
\mod_biggreenbuttonbn\event\recording_imported;Запись импортирована
\mod_biggreenbuttonbn\event\recording_protected;Запись защищена
\mod_biggreenbuttonbn\event\recording_published;Запись собрания BigGreenButton опубликована
\mod_biggreenbuttonbn\event\recording_unprotected;Запись не защищена
\mod_biggreenbuttonbn\event\recording_unpublished;Отменена публикация записи собрания BigGreenButton
\mod_biggreenbuttonbn\event\recording_viewed;Запись просмотрена
\mod_bigyellowbuttonbn\event\activity_viewed;Просмотрен элемент курса «Видеоконференция BigYellowButton»
